"year","month","day","station","O3","TEMP","PRES","DEWP","RAIN","WSPM","date"
2013,3,1,"Dongsi",72.7826086956522,1.325,1028.78333333333,-21.4666666666667,0,3.30833333333333,2013-03-01
2013,3,2,"Dongsi",37.7916666666667,0.491666666666667,1028.85,-16.9625,0,0.791666666666667,2013-03-02
2013,3,3,"Dongsi",20.3333333333333,4.9875,1016.45833333333,-12.3125,0,1.225,2013-03-03
2013,3,4,"Dongsi",62.2916666666667,10.5625,1019.45416666667,-14,0,2.50416666666667,2013-03-04
2013,3,5,"Dongsi",83.0416666666667,7.2125,1012.70416666667,-7.78333333333333,0,0.9125,2013-03-05
2013,3,6,"Dongsi",28,8,1009.29583333333,-5.37916666666667,0,0.775,2013-03-06
2013,3,7,"Dongsi",53.5416666666667,9.25833333333333,1004.10833333333,-2.54583333333333,0,1.17083333333333,2013-03-07
2013,3,8,"Dongsi",104.541666666667,9.6625,1001.32916666667,-2.5,0,1.67916666666667,2013-03-08
2013,3,9,"Dongsi",97.0833333333333,7.23333333333333,1006.12916666667,-12.1,0,4,2013-03-09
2013,3,10,"Dongsi",95.125,5.7875,1022.50416666667,-15.1083333333333,0,2.33333333333333,2013-03-10
2013,3,11,"Dongsi",86.6666666666667,7.18333333333333,1015.58333333333,-7.65,0,1.52083333333333,2013-03-11
2013,3,12,"Dongsi",45.75,5.10416666666667,1010.79583333333,1.12083333333333,0.220833333333333,1.17916666666667,2013-03-12
2013,3,13,"Dongsi",79.5,4.3625,1024.74583333333,-11.8208333333333,0,2.01666666666667,2013-03-13
2013,3,14,"Dongsi",78.875,3.9625,1023.47083333333,-4.99166666666667,0,1.85833333333333,2013-03-14
2013,3,15,"Dongsi",60.7083333333333,5.86666666666667,1016.3875,-1.32083333333333,0,0.9375,2013-03-15
2013,3,16,"Dongsi",84.6666666666667,9.63333333333333,1018.6375,-0.2625,0,1.775,2013-03-16
2013,3,17,"Dongsi",106.916666666667,9.96666666666667,1003.75416666667,2.35,0,1.125,2013-03-17
2013,3,18,"Dongsi",90.9166666666667,8.17083333333333,1003.11666666667,-10.9916666666667,0,3.85833333333333,2013-03-18
2013,3,19,"Dongsi",30.25,2.19166666666667,1010.85,-2.46666666666667,0.175,2.075,2013-03-19
2013,3,20,"Dongsi",37.4166666666667,1.7625,1019.25833333333,-4.1375,0.254166666666667,1.8875,2013-03-20
2013,3,21,"Dongsi",20.0434782608696,4.51666666666667,1006.80833333333,-3.00416666666667,0,1.70833333333333,2013-03-21
